Nome do serviço,ID do serviço,Categoria da URL,Total Geral
Patrimônio - Aviso do foreiro,104142,/servicos,197
GeoPAL,83819,/servicos,193
Dívida Ativa - Consultar débitos de IPTU,68760,/objetivo,192
Informações sobre o sistema de custo de obras,75480,/termos,190
Consultar Calendário Escolar,68683,/objetivo,188
Multa de Trânsito - Cancelamento (1ª Instância),70980,/objetivo,187
Licenciamento de eventos - Autorização Transitória,69052,/grupo,186
"Realização, Consulta e Cancelamento de Agendamento de Vistoria por Permissão em Taxi",91833,/busca,180
Multa de Trânsito - Cancelamento (1ª Instância),70980,/tema,179
Multa de Trânsito - Solicitação de Cópia do Auto de Infração (AIT ou Foto),71525,/servicos,171
Parcelamento em dívida ativa,82000,/busca,171
Consulta de Situação Cadastral por Permissão,69771,/servicos,170
Censo Cadastral  Previdenciário - Previ-Rio,103922,/publico,167
Matrícula na Rede Pública Municipal de Ensino - 2025,103896,/objetivo,163
Multa de Trânsito - Defesa Prévia de Autuação,69642,/grupo,162
Alvará - Consulta Prévia de Local,68871,/termos,158
ISS - Confirmação de Autenticidade de Certidão,83204,/servicos,157
Autorização de funcionamento para banca de jornal e revistas,69582,/busca,155
Multa de Trânsito - Consulta de Multa,71034,/busca,155
Dívida Ativa - Consultar débitos de IPTU,68760,/busca,154
Segunda via de alvará,68976,/servicos,153
Informação sobre a situação dos imóveis no Município do Rio de Janeiro,82648,/sistema,149
IPTU – Autenticidade da Certidão de Situação Fiscal e Enfitêutica do Imóvel,84388,/servicos,149
Visitação ao Museu do Universo no Planetário do Rio,88400,/servicos,148
Legislação Bairro a Bairro (Relatório de Informações Urbanísticas),71504,/termos,146
ISS – Pedido para emissão de certidão de Visto Fiscal para Habite-se/ Inclusão no cadastro exclusivo do IPTU (sem Movimento Econômico),83239,/servicos,140
Inclusão ou Exclusão de Motorista Auxiliar de Táxi,91878,/objetivo,134
CADRio Agendamento,92294,/orgao,132
Multa de Trânsito - Defesa Prévia de Autuação,69642,/busca,131
Dívida Ativa – Segunda Via de Cotas de Pagamento,68789,/grupo,129
Passe Livre,72584,/servicos,125
ITBI – Processo de Reconhecimento de Isenção,83051,/servicos,125
Informações sobre o RioCard,70835,/servicos,123
Matrícula em Creche Municipal,70742,/servicos,121
"ISS - Restituição/Crédito na Nota Carioca de Imposto sobre Serviços, Taxas, Autônomos e Visto Fiscal",84343,/servicos,121
Licença Sanitária de Funcionamento,69823,/objetivo,120
Ressarcimento de Taxas de Diárias e Remoção ou de Saldo Remanescente de Arrematação de Veículo Leiloado,100881,/grupo,116
Planta Aerofotogramétrica (Planta Cadastral),71370,/servicos,115
Emissão de Cópia Autêntica (Vistoria da Defesa Civil),78769,/busca,115
Licença Sanitária de Funcionamento,69823,/sistema,114
Consulta de Situação Cadastral por Permissão,69771,/busca,112
Consultar Declaração de Escolaridade,68687,/sistema,109
SMPDA - Fiscalização - Vistoria técnica em local onde há maus tratos de animais domésticos,86826,/servicos,109
Emissão de boleto para pagamento de multa (DARM) no VLT,99086,/sistema,108
ISS - Consultar Créditos da Nota Carioca e abatimento do IPTU,84358,/servicos,105
"Requerimento de Concessão de Autorização de Matrícula em Feiras Livres, Feiras Móveis e Feiras Especiais",72232,/servicos,104
Cartão de Estacionamento para Idoso,69155,/grupo,102
Informações sobre a Carteira da pessoa Idosa,72177,/servicos,98
Vistoria Veicular e Atualização Documental - Táxi,70382,/grupo,98
Cartão de estacionamento para pessoas com deficiência – PCD,70874,/objetivo,97
Informações sobre o Plano de Saúde do Servidor Municipal - PSSM,77318,/busca,97
Alvará de Licença de Estabelecimento - Recurso de Consulta Prévia,69579,/sistema,96
Consulta de Situação Cadastral por Permissão,69771,/objetivo,94
"Realização, Consulta e Cancelamento de Agendamento de Vistoria por Permissão em Taxi",91833,/objetivo,93
ISS - Desbloqueio de senha web da Nota Carioca,83208,/servicos,93
Consulta de Processos Administrativos Eletrônicos,88424,/servicos,90
Carteira Digital de Trânsito - CDT,90324,/servicos,90
Emissão de Relatório de Informação Urbanística (RIU),82642,/servicos,89
Multa de Trânsito - Troca do real infrator,69620,/servicos,89
Contracheque de servidor inativo e pensionista,77349,/termos,89
ISS – Pedido para emissão de certidão de Visto Fiscal para Habite-se/ Inclusão no cadastro exclusivo do IPTU (sem Movimento Econômico),83239,/busca,89
Alvará de Licença de Estabelecimento - Recurso de Consulta Prévia,69579,/grupo,88
Solicitação de vacinação em domicílio,104786,/publico,87
Solicitação de correção de falhas e de cadastro no portal e app 1746,79487,/termos,87
Emissão de Taxas por Permissão em Taxi,91836,/objetivo,87
Acervo de Imagens PAA/PAL,83832,/servicos,87
Cadastro e acesso ao Portal Carioca Digital,77560,/grupo,87
Segunda via de alvará,68976,/busca,86
ITBI - Processo de Revisão de valor e Reconsideração de decisão,83921,/servicos,84
ITBI - Cumprimento de exigência em protocolo,83749,/servicos,84
Matrícula na Rede Pública Municipal de Ensino - 2025,103896,/publico,84
Informações sobre atividades esportivas gratuitas,72731,/servicos,83
Informações sobre o auxílio moradia,76383,/servicos,83
Segunda via de alvará,68976,/grupo,82
Cartão de Estacionamento para Idoso,69155,/busca,82
Agendamento de atendimento presencial,82682,/servicos,80
Cadastro e acesso ao Portal Carioca Digital,77560,/objetivo,80
Emissão de TUAP - Feirantes,101966,/servicos,80
Baixa de alvará de licença de estabelecimento,68981,/servicos,79
Solicitação de emissão de BRAT em acidente de trânsito SEM VÍTIMA,79943,/servicos,79
Conselho de Contribuintes,88430,/servicos,78
ITBI - Processo de Restituição total ou parcial,83933,/servicos,77
Inclusão ou Exclusão de Motorista Auxiliar de Táxi,91878,/servicos,77
Impressão de Taxa de Uso de Área Pública (TUAP) para mesas e cadeiras,102070,/servicos,77
"Certidão Municipal de Inexigibilidade de Licenciamento Ambiental para atividades industriais, de comércio e serviços (CMI)",82560,/servicos,75
Atendimento clínico para animais - Esporotricose,72791,/busca,75
Histórico de Tarifas,71072,/servicos,75
Fiscalização de estacionamento irregular de veículo,68599,/servicos,74
Alvará de Licença de Estabelecimento - Solicitação de Alteração Cadastral,68970,/servicos,73
Consultar Declaração de Escolaridade,68687,/objetivo,73
Autorização para colocação de mesas e cadeiras em área pública,69750,/servicos,73
ISS – Esclarecimento de dúvidas sobre Nota Carioca e/ou legislação,84328,/servicos,73
Consultar Declaração de Escolaridade,68687,/termos,72
Plataforma do Registro Geral de Animais - SISBICHO,92384,/sistema,72
Cópia ou Certidão de inteiro teor de documento ou processo,103709,/servicos,72
Alvará - Consulta Prévia de Local,68871,/tema,71
Impressão de Taxa de Uso de Área Pública (TUAP) para mesas e cadeiras,102070,/busca,71
Imóveis penhorados como garantia para o pagamento de Execuções Fiscais,103788,/servicos,70
Emissão de boleto para pagamento de multa (DARM) no VLT,99086,/servicos,70
Aplicativo Taxi.Rio Cidades,77601,/servicos,70
Multa de Trânsito - Cancelamento (1ª Instância),70980,/busca,70
Inclusão ou Exclusão de Motorista Auxiliar de Táxi,91878,/busca,70
Censo Cadastral  Previdenciário - Previ-Rio,103922,/orgao,69
Minhas Bancas de jornais e revistas,69067,/busca,69
Minhas Bancas de jornais e revistas,69067,/objetivo,68
Multa de Trânsito - Solicitação de Cópia do Auto de Infração (AIT ou Foto),71525,/grupo,67
Acesso a outros Requerimentos da Vigilância Sanitária,69845,/grupo,67
Cartão de estacionamento para pessoas com deficiência – PCD,70874,/busca,66
ISS - Programa Carioca em Dia,105600,/orgao,64
Concessão de alvará de licença de estabelecimento pela internet,69572,/servicos,64
Verificação do número do processo aberto na Secretaria Municipal de Transportes,71082,/servicos,63
Requerimento de Cópia Digital de Planta de Arquitetura,82735,/busca,63
ISS – Impugnação a Auto de Infração ou Nota de Lançamento,84313,/servicos,62
Emissão de TUAP - Feirantes,101966,/busca,62
BUSCA FÁCIL - Consulta à Legislação Urbana da Cidade do Rio de Janeiro,71288,/sistema,60
Consultar Validade de Contracheque,68596,/objetivo,60
IPTU - Autenticidade da Certidão de Elementos Cadastrais,84386,/servicos,60
Vistoria Veicular e Atualização Documental - Táxi,70382,/objetivo,60
ITBI - Cumprimento de exigência em processo administrativo,83747,/servicos,60
Fornecedores de bens e serviços – Solicitação de Cadastro,91065,/servicos,60
Solicitação de autorização de filmagem - Rio Film Commission,87423,/busca,60
Plataforma do Registro Geral de Animais - SISBICHO,92384,/servicos,58
"Requerimento de Isenção de Taxa de Uso de Área Pública (TUAP) para Feiras Livres, Feiras Móveis, Feiras Especiais e Feirartes",91075,/termos,57
Autorização para exibição de publicidade,105555,/servicos,57
Informação sobre consulta de Projeto Aprovado de Alinhamento ou Loteamento - PAA/PAL,82622,/servicos,57
Matrícula na Rede Pública Municipal de Ensino - 2025,103896,/servicos,56
Dívida Ativa – Segunda Via de Cotas de Pagamento,68789,/objetivo,56
Censo Cadastral  Previdenciário - Previ-Rio,103922,/objetivo,56
Transação individualizada em Dívida Ativa,89034,/orgao,56
Dívida Ativa – Segunda Via de Cotas de Pagamento,68789,/servicos,56
ITBI- Processo de Reconhecimento de Não incidência,83033,/servicos,56
Remoção de entulho e bens inservíveis,68561,/objetivo,56
"Remoção de cavalos, bois, porcos e cabras gravemente feridos ou atropelados em vias públicas",72710,/tema,55
Consulta e encaminhamento para vagas de emprego,70982,/servicos,55
Atendimento clínico consultas e exames em animais,72777,/objetivo,55
Atendimento ao consumidor pelo Procon Carioca,78480,/servicos,55
Requerimento de Adiantamento de décimo terceiro salário para Servidor Ativo,78796,/servicos,55
Multa de Trânsito - Consulta de Multa,71034,/grupo,55
Atendimento em Policlínicas,71240,/servicos,55
Informações sobre o Plano de Saúde do Servidor Municipal - PSSM,77318,/termos,55
Agendamento de atendimento presencial,82682,/objetivo,54
Informações sobre o Programa Cartão Família Carioca,72410,/servicos,54
Troca de endereço de correspondência / e-mail de inativo ou pensionista no Previ-rio,77329,/termos,54
Patrimônio - Recadastramento enfitêutico,104079,/servicos,53
Consultar Validade de Contracheque,68596,/servicos,53
Fiscalização da atuação do guardador de estacionamento Rio Rotativo,89171,/grupo,52
Baixa de alvará de licença de estabelecimento,68981,/objetivo,52
Táxi especial para cadeirantes,78158,/servicos,52
Dívida Ativa – Segunda Via de Cotas de Pagamento,68789,/busca,52
"Vistoria Anual Obrigatória dos Modais Escolar, Fretamento, STPL, STPC e TEC",92810,/busca,52
Baixa de alvará de licença de estabelecimento,68981,/busca,51
Matrícula na Rede Pública Municipal de Ensino - 2025,103896,/busca,51
Consultar Minhas Solicitações,89017,/sistema,50
Solicitação de orientações sobre o alvará pela internet,70336,/grupo,50
Legalização de obras com contrapartida (Mais Valia),82608,/servicos,50
Multa de Trânsito - Defesa Prévia de Autuação,69642,/tema,50
Acervo de Imagens PAA/PAL,83832,/tema,50
Acesso a outros Requerimentos da Vigilância Sanitária,69845,/busca,50
Inclusão ou Exclusão de Motorista Auxiliar de Táxi,91878,/grupo,49
Informação sobre consulta de Projeto Aprovado de Alinhamento ou Loteamento - PAA/PAL,82622,/grupo,49
Consultar Declaração de Escolaridade,68687,/busca,49
Consultar Declaração de Escolaridade,68687,/grupo,48
"Licença para construção ou modificação de edificação/ LICIN, prorrogação de licença.",82573,/servicos,48
Autorização de funcionamento para banca de jornal e revistas,69582,/servicos,48
ITBI - Certidão de quitação fiscal (nada consta),83738,/servicos,48
Emissão de TUAP - Feirantes,101966,/objetivo,48
Autorização para colocação de mesas e cadeiras em área pública,69750,/busca,48
Taxas - Emissão de DARM da Taxa de Fiscalização de Cemitérios,100816,/servicos,46
Licença de transformação de uso de edificação,82577,/servicos,46
Patrimônio - Remição de Foro,104071,/servicos,46
Remoção de veículo abandonado em via pública,68664,/servicos,46
Solicitação de autorização de filmagem - Rio Film Commission,87423,/servicos,46
Cartão de Estacionamento para Idoso,69155,/publico,45
IPTU - Alteração de dados do destinatário,84830,/servicos,45
Inscrição em programa de antitabagismo,71235,/servicos,44
Atendimento à denúncia de obra sem licença e moderação dos chamados da Central de Atendimento 1746,82670,/servicos,44
Patrimônio - Emissão de guias para pagamento pelo uso de bens imóveis públicos,88518,/servicos,44
Permissão Especial de Estacionamento para Veículos de Carga e Descarga de Mudanças Residenciais,71837,/busca,44
Censo Cadastral  Previdenciário - Previ-Rio,103922,/termos,43
Alvará - Consulta Prévia de Local,68871,/sistema,43
Licenciamento de Reparo Emergencial em Vias Públicas,92890,/servicos,43
Consultar Certidão de Habite-se/Aceitação,82661,/busca,43
Informações sobre avaliação de aluno incluído,102699,/servicos,42
Alvará de Licença de Estabelecimento - Recurso de Consulta Prévia,69579,/servicos,42
Certidão de Histórico de Revisão de Numeração,83861,/servicos,42
ISS Visto Fiscal/Inclusão Predial – Parcelamento (exclusivo para Processos abertos na Gerência de Visto Fiscal),83260,/servicos,42
Autorização para Publicidade Vinculada a Eventos,89312,/sistema,41
ITBI - Petição em processo administrativo já aberto,83941,/servicos,41
Emissão de boleto para quitação de financiamento - Rio-Urbe,75447,/objetivo,41
Multa de Trânsito – 2ª Instância,89838,/busca,41
SMPDA - Campanha de Adoção com os Animais da Fazenda Modelo: “Adote um Amigo”,86751,/publico,40
Informações sobre o BRT,102715,/servicos,40
Consulta de dados no Portal da Transparência Rio,81712,/servicos,40
"Vistoria Anual Obrigatória dos Modais Escolar, Fretamento, STPL, STPC e TEC",92810,/grupo,40
SMPDA - Programa Bicho Rio - Esterilização gratuita de cães e gatos,86797,/tema,39
Cadastramento de profissional na Rio-Águas,77762,/servicos,39
Patrimônio - Consulta Enfiteuse,104101,/servicos,39
"Informações sobre o acolhimento institucional de adultos,  famílias, idosos em vulnerabilidade",72310,/servicos,39
"Ingresso ou Baixa em Cooperativa, Associação ou Prestadora de Serviço de Táxi",91886,/grupo,39
Fiscalização de poluição sonora - Medição de ruído em empreendimento ambientalmente licenciável e pela GEM Rio Luz,81894,/sistema,38
Multa de Trânsito - Ressarcimento de valor pago,70990,/servicos,38
Isenção de Imposto de Renda,76427,/servicos,38
REVIVER CENTRO,86624,/servicos,38
"Vistoria de Táxi - 1ª Autonomia, Inclusão e Permuta de Veículo, Transferência de Permissão, Benefício ‘Causa Mortis’ e Vistoria Extra",91872,/grupo,38
Agendamento de atendimento presencial,82682,/busca,38
"ISS - Restituição/Crédito na Nota Carioca de Imposto sobre Serviços, Taxas, Autônomos e Visto Fiscal",84343,/objetivo,38
Autorização de funcionamento para banca de jornal e revistas,105563,/busca,38
Incluir Aluno para acompanhamento escolar,68617,/grupo,37
Autorização de poda ou remoção de árvore em área particular,76115,/servicos,37
ISS – Apropriação de guia de pagamento (DARM-RIO),84310,/servicos,37
Consulta ao andamento de processos administrativos da Coordenadoria de Licenciamento e Fiscalização,79160,/servicos,37
Alvará de Licença de Estabelecimento - Solicitação de Alteração Cadastral,68970,/busca,37
Comunicação de Autovistoria,82614,/servicos,36
Troca de Beneficiário de Taxista/Mototaxista,101625,/publico,36
Informações sobre o Bilhete Único Carioca,70833,/servicos,36
ISS - Solicitação de envio de débito de ISS para Dívida Ativa,105075,/tema,36
Certidão de Inexistência de Atividade Econômica,70101,/servicos,36
ISS – Certidão de Pagamento de ISS ou Taxa,86907,/servicos,36
"Segunda via de Certificado de Vistoria, CIAT ou Atualização Cadastral para Taxistas",91855,/objetivo,36
Informações sobre avaliação de aluno incluído,102699,/busca,36
Consulta de dados no Portal da Transparência Rio,81712,/objetivo,36
Alvará - Consulta Prévia de Local,68871,/orgao,35
Informação sobre trabalho ou estágio na MultiRio,75543,/objetivo,35
Inclusão ou Exclusão de Motorista Auxiliar de Táxi,91878,/publico,35
Cópia ou Certidão de inteiro teor de documento ou processo,103709,/busca,35
Solicitação de orientações sobre o alvará pela internet,70336,/busca,35
Multa de Trânsito - Cancelamento (1ª Instância),70980,/publico,34
Informações sobre saldo devedor e quitação do financiamento imobiliário no Previ-Rio,78245,/servicos,34
Emissão de boleto para pagamento de multa (DARM) no VLT,99086,/tema,34
Licenciamento Economia Sobre Rodas - Truck Rio,85510,/servicos,34
Emissão Guia de Liquidação de Parcelamento,74652,/objetivo,34
Solicitação de autorização de filmagem - Rio Film Commission,87423,/tema,34
Solicitação de serviços para os povos e comunidades tradicionais,93368,/servicos,33
Informações sobre o BRT,102715,/sistema,33
Incluir Aluno para acompanhamento escolar,68617,/servicos,33
ISS - Valor atualizado de débito (não inscrito em Dívida Ativa),105077,/servicos,33
Informações sobre empresas conveniadas com a Prefeitura,73155,/servicos,33
Consulta ao Acervo do Arquivo Geral da Cidade do Rio de Janeiro,81556,/servicos,33
Permissão Especial de Estacionamento para Veículos de Carga e Descarga de Mudanças Residenciais,71837,/objetivo,33
Instalação do Validador Jaé,93462,/servicos,33
Emissão de boleto para pagamento de multa (DARM) no VLT,99086,/grupo,32
"Fiscalização  de alimentos,industria de alimentos,e estabelecimentos de ensino",73070,/servicos,32
Emissão de Procuração Virtual para banca de jornal,69803,/objetivo,32
Emissão de Taxas por Permissão em Taxi,91836,/servicos,32
Requerimento de Cópia Digital de Planta de Arquitetura,82735,/objetivo,32
Solicitação de atendimento do Conselho Tutelar,102618,/orgao,31
Multa de Trânsito - Consulta de Multa,71034,/termos,31
Legislação Bairro a Bairro (Relatório de Informações Urbanísticas),71504,/sistema,31
Licença de Edificação Unifamiliar ou Bifamiliar,82579,/objetivo,31
"Segunda via de Certificado de Vistoria, CIAT ou Atualização Cadastral para Taxistas",91855,/busca,31
Solicitação de Transporte da Gestante para a Maternidade,72125,/grupo,30
Certidão de Histórico de Reconhecimento de Logradouro,74634,/servicos,30
Solicitação de Cartão Morador,69129,/servicos,30
Informações sobre concursos públicos,73146,/grupo,30
Resgate de animais silvestres,81912,/servicos,30
ISS – Consulta à legislação tributária municipal ou Reconhecimento de Imunidade/Não incidência/Isenção e Redução (inclusive Minha Casa Minha Vida e afins) de ISS,104371,/tema,30
Informações sobre o auxílio educação,76361,/grupo,30
Cadastro no 'Push Processo' para mensagens sobre o andamento de Processos Físicos,88182,/grupo,30
Informações sobre o auxílio natalidade,76390,/servicos,30
Alvará a Jato,91037,/busca,30
Consultar Calendário Escolar,68683,/servicos,29
Consulta à Merenda Escolar,69334,/servicos,29
Concessão de alvará de licença de estabelecimento pela internet,69572,/grupo,29
ITBI - Revalidação de protocolo com instrumento já lavrado (fiscalização),83925,/servicos,29
Redução de Carga Horária,92881,/servicos,29
Formulário Ambulante - Alteração,94048,/busca,29
Informações sobre gratuidade no transporte complementar,70965,/servicos,28
Cartão Refeição Prato Feito Carioca,86866,/tema,28
"Segunda via de Certificado de Vistoria, CIAT ou Atualização Cadastral para Taxistas",91855,/servicos,28
Licenciamento Economia sobre Rodas - Sacolão Volante,103758,/publico,28
Multa de Trânsito - Cancelamento (1ª Instância),70980,/orgao,28
Declaração do Imposto de Renda na Fonte para aposentados e pensionistas,76421,/servicos,28
Licença para construção de muro ou gradis,82585,/grupo,28
SMPDA - Fiscalização - Vistoria técnica em local onde há maus tratos de animais domésticos,86826,/tema,28
Material Rioeduca,90643,/termos,28
"Requerimento de Isenção de Taxa de Uso de Área Pública (TUAP) para Feiras Livres, Feiras Móveis, Feiras Especiais e Feirartes",91075,/busca,28
"Matrícula na Pré-Escola, Ensino Fundamental e Educação de Jovens e Adultos",70758,/servicos,27
ISS – Consulta à legislação tributária municipal ou Reconhecimento de Imunidade/Não incidência/Isenção e Redução (inclusive Minha Casa Minha Vida e afins) de ISS,104371,/servicos,27
Sepultamento no cemitério de pequenos animais,72812,/servicos,27
Certidão de Cadastro de Taxista/Mototaxista – Verificação do tempo de serviço,70484,/servicos,27
Autorização (matrícula nova) em Feirartes,72249,/servicos,27
Relação de licenças ambientais emitidas,82675,/grupo,27
"Vistoria Anual Obrigatória dos Modais Escolar, Fretamento, STPL, STPC e TEC",92810,/servicos,27
